Name,Surname,Date birth,Unit,Class,Sex,Race,Citizenship,Married,Children,Salary per day,Territory,Occupation,Pets,Food
Joshua,Martin,1990-05-18,Peasant,Worker,Male,Human,Stormwind,Yes,5,1.00,Stormwind,Tree,3,1.00
Freddie,Clark,1978-07-30,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Gold,3,1.00
Isaac,Hill,1985-09-11,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Tree,3,1.00
Max,Ward,1992-10-22,Peasant,Worker,Male,Human,Stormwind,Yes,5,1.00,Stormwind,Tree,1,1.00
Luca,Turner,1975-12-04,Peasant,Worker,Male,Human,Stormwind,Yes,4,1.00,Stormwind,Gold,3,1.00
Benjamin,Edwards,1984-02-16,Peasant,Worker,Male,Human,Lordaeron,Yes,4,1.00,Lordaeron,Gold,2,1.00
Archie,Collins,1991-03-28,Peasant,Worker,Male,Human,Kul Tiras,Yes,1,1.00,Kul Tiras,Tree,2,1.00
Joseph,Green,1987-06-10,Peasant,Worker,Male,Human,Lordaeron,Yes,3,1.00,Lordaeron,Tree,3,1.00
Lucas,Hall,1979-08-22,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Gold,3,1.00
Theodore,Mitchell,1980-10-03,Peasant,Worker,Male,Human,Stormwind,Yes,3,1.00,Stormwind,Gold,2,1.00
Dylan,Carter,1982-11-15,Peasant,Worker,Male,Human,Stormwind,Yes,4,1.00,Stormwind,Tree,3,1.00
Samuel,Phillips,1993-01-27,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Gold,2,1.00
Riley,Morris,1986-03-09,Peasant,Worker,Male,Human,Lordaeron,Yes,4,1.00,Lordaeron,Gold,3,1.00
Toby,Patel,1977-05-21,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Tree,3,1.00
Sebastian,Adams,1988-07-02,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Gold,2,1.00
Logan,Campbell,1989-09-14,Peasant,Worker,Male,Human,Lordaeron,Yes,5,1.00,Lordaeron,Tree,3,1.00
Aiden,Anderson,1976-10-26,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Tree,1,1.00
Reuben,Allen,1990-12-08,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Gold,2,1.00
Gabriel,Cook,1981-01-20,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Gold,3,1.00
Zachary,Bailey,1985-04-02,Peasant,Worker,Male,Human,Kul Tiras,Yes,5,1.00,Kul Tiras,Tree,2,1.00
Caleb,Parker,1978-06-14,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Tree,3,1.00
Elijah,Miller,1992-08-26,Peasant,Worker,Male,Human,Kul Tiras,Yes,2,1.00,Kul Tiras,Gold,2,1.00
Louis,King,1984-11-07,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Gold,3,1.00
Harvey,Scott,1983-01-19,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Tree,3,1.00
Hugo,Young,1980-03-01,Peasant,Worker,Male,Human,Lordaeron,Yes,5,1.00,Lordaeron,Gold,1,1.00
Matthew,Bennett,1987-05-13,Peasant,Worker,Male,Human,Stormwind,Yes,3,1.00,Stormwind,Gold,3,1.00
Nathan,Murphy,1976-07-25,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Gold,1,1.00
Jasper,Kelly,1991-10-06,Peasant,Worker,Male,Human,Lordaeron,Yes,3,1.00,Lordaeron,Tree,1,1.00
Rufus,Price,1989-12-18,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Gold,3,1.00
Alfred,Stewart,1984-01-30,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Gold,3,1.00
Edmund,Gray,1975-04-11,Peasant,Worker,Male,Human,Stormwind,Yes,1,1.00,Stormwind,Gold,3,1.00
Albert,Murray,1993-06-23,Peasant,Worker,Male,Human,Stormwind,Yes,3,1.00,Stormwind,Gold,3,1.00
Wilfred,Hughes,1986-08-05,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Tree,1,1.00
Sidney,Watson,1977-10-17,Peasant,Worker,Male,Human,Kul Tiras,Yes,1,1.00,Kul Tiras,Tree,1,1.00
Rocco,Fraser,1992-12-29,Peasant,Worker,Male,Human,Stormwind,Yes,5,1.00,Stormwind,Gold,2,1.00
Reggie,Ross,1981-02-10,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Tree,3,1.00
Winston,Butler,1989-04-22,Peasant,Worker,Male,Human,Stormwind,Yes,3,1.00,Stormwind,Gold,3,1.00
Stanley,Brooks,1983-07-04,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Tree,2,1.00
Arthur,Richardson,1978-09-15,Peasant,Worker,Male,Human,Kul Tiras,Yes,3,1.00,Kul Tiras,Gold,3,1.00
Felix,Long,1991-11-27,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Tree,3,1.00
Jasper,Cox,1988-01-09,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Gold,2,1.00
Rufus,Howard,1979-03-21,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Tree,2,1.00
Alfred,Ward,1984-06-02,Peasant,Worker,Male,Human,Kul Tiras,Yes,2,1.00,Kul Tiras,Gold,1,1.00
Edmund,Russell,1980-08-14,Peasant,Worker,Male,Human,Stormwind,Yes,5,1.00,Stormwind,Gold,2,1.00
Albert,Price,1985-10-26,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Tree,2,1.00
Wilfred,Wright,1987-12-08,Peasant,Worker,Male,Human,Stormwind,Yes,3,1.00,Stormwind,Tree,1,1.00
Sidney,Perry,1990-02-20,Peasant,Worker,Male,Human,Lordaeron,Yes,5,1.00,Lordaeron,Gold,2,1.00
Rocco,Brooks,1982-05-01,Peasant,Worker,Male,Human,Stormwind,Yes,2,1.00,Stormwind,Tree,1,1.00
Reggie,Simpson,1977-07-13,Peasant,Worker,Male,Human,Stormwind,Yes,1,1.00,Stormwind,Gold,2,1.00
Winston,Ellis,1992-09-25,Peasant,Worker,Male,Human,Lordaeron,Yes,5,1.00,Lordaeron,Tree,2,1.00
Stanley,Stevens,1986-11-07,Peasant,Worker,Male,Human,Lordaeron,Yes,1,1.00,Lordaeron,Tree,2,1.00
Reggie,Mason,1978-01-19,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Gold,2,1.00
Chester,Knight,1993-03-03,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Tree,2,1.00
Laurie,Andrews,1981-05-15,Peasant,Worker,Male,Human,Kul Tiras,Yes,3,1.00,Kul Tiras,Gold,2,1.00
Percy,Palmer,1989-07-27,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Tree,3,1.00
Gus,West,1983-10-08,Peasant,Worker,Male,Human,Kul Tiras,Yes,1,1.00,Kul Tiras,Tree,3,1.00
Hugh,Lane,1990-12-20,Peasant,Worker,Male,Human,Stormwind,Yes,3,1.00,Stormwind,Tree,3,1.00
Sonny,Carpenter,1985-02-01,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Tree,3,1.00
Teddy,Payne,1976-04-13,Peasant,Worker,Male,Human,Kul Tiras,Yes,3,1.00,Kul Tiras,Gold,3,1.00
Laurie,Black,1988-06-25,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Gold,2,1.00
Reggie,Dixon,1991-09-06,Peasant,Worker,Male,Human,Stormwind,Yes,3,1.00,Stormwind,Gold,2,1.00
Chester,Berry,1979-11-18,Peasant,Worker,Male,Human,Stormwind,Yes,2,1.00,Stormwind,Gold,3,1.00
Laurie,Stone,1986-01-30,Peasant,Worker,Male,Human,Kul Tiras,Yes,5,1.00,Kul Tiras,Gold,1,1.00
Percy,Holland,1990-03-11,Peasant,Worker,Male,Human,Lordaeron,Yes,4,1.00,Lordaeron,Tree,2,1.00
Gus,Mills,1987-05-23,Peasant,Worker,Male,Human,Stormwind,Yes,3,1.00,Stormwind,Gold,2,1.00
Hugh,Tucker,1978-08-04,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Tree,2,1.00
Sonny,Jacobs,1984-10-16,Peasant,Worker,Male,Human,Stormwind,Yes,1,1.00,Stormwind,Tree,1,1.00
Teddy,Brooks,1991-12-28,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Gold,2,1.00
Monty,Powell,1987-02-10,Peasant,Worker,Male,Human,Lordaeron,Yes,5,1.00,Lordaeron,Gold,3,1.00
Archie,Hunt,1977-04-22,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Gold,1,1.00
Dennis,Palmer,1989-07-04,Peasant,Worker,Male,Human,Lordaeron,Yes,5,1.00,Lordaeron,Gold,1,1.00
Leonard,Newton,1981-09-15,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Gold,3,1.00
Bobby,Miles,1990-06-02,Peasant,Worker,Male,Human,Kul Tiras,Yes,2,1.00,Kul Tiras,Tree,1,1.00
Bruce,Rose,1986-08-14,Peasant,Worker,Male,Human,Stormwind,Yes,2,1.00,Stormwind,Tree,3,1.00
Clive,Hart,1993-10-26,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Gold,1,1.00
Clifford,Hudson,1979-12-08,Peasant,Worker,Male,Human,Kul Tiras,Yes,3,1.00,Kul Tiras,Tree,3,1.00
Colin,Cunningham,1985-01-04,Peasant,Worker,Male,Human,Kul Tiras,Yes,2,1.00,Kul Tiras,Tree,3,1.00
Cyril,Palmer,1990-03-16,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Tree,2,1.00
Derek,Rogers,1978-06-27,Peasant,Worker,Male,Human,Stormwind,Yes,3,1.00,Stormwind,Gold,1,1.00
Donald,Miles,1982-08-12,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Gold,2,1.00
Eric,Rose,1995-09-05,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Tree,2,1.00
Ernest,Hart,1975-11-23,Peasant,Worker,Male,Human,Lordaeron,Yes,3,1.00,Lordaeron,Gold,1,1.00
Frank,Hudson,1988-12-09,Peasant,Worker,Male,Human,Stormwind,Yes,2,1.00,Stormwind,Gold,1,1.00
Frederick,Cunningham,1992-02-18,Peasant,Worker,Male,Human,Lordaeron,Yes,2,1.00,Lordaeron,Tree,1,1.00
Gilbert,Palmer,1980-04-28,Peasant,Worker,Male,Human,Lordaeron,Yes,1,1.00,Lordaeron,Tree,1,1.00
Graham,Rogers,1979-05-06,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Tree,1,1.00
Harold,Miles,1993-07-15,Peasant,Worker,Male,Human,Kul Tiras,Yes,1,1.00,Kul Tiras,Tree,1,1.00
Herbert,Rose,1984-10-03,Peasant,Worker,Male,Human,Stormwind,Yes,1,1.00,Stormwind,Tree,2,1.00
Hubert,Hart,1987-12-25,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Tree,3,1.00
Ian,Hudson,1991-03-09,Peasant,Worker,Male,Human,Kul Tiras,Yes,4,1.00,Kul Tiras,Tree,3,1.00
Jack,Cunningham,1976-06-11,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Tree,1,1.00
Jeffrey,Palmer,1989-08-20,Peasant,Worker,Male,Human,Lordaeron,Yes,2,1.00,Lordaeron,Tree,3,1.00
Jeremy,Rogers,1981-09-11,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Gold,3,1.00
Keith,Miles,1994-11-19,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Tree,1,1.00
Kevin,Rose,1983-01-27,Peasant,Worker,Male,Human,Lordaeron,Yes,2,1.00,Lordaeron,Tree,3,1.00
Lawrence,Hart,1977-02-15,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Tree,2,1.00
Leslie,Cunningham,1986-04-22,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Tree,1,1.00
Malcolm,Palmer,1990-05-05,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Tree,3,1.00
Maurice,Rogers,1978-07-14,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Tree,1,1.00
Michael,Miles,1985-09-01,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Gold,2,1.00
Neville,Rose,1992-10-15,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Gold,2,1.00
Norman,Hart,1975-12-19,Peasant,Worker,Male,Human,Stormwind,Yes,1,1.00,Stormwind,Gold,1,1.00
Patrick,Hudson,1984-02-02,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Gold,2,1.00
Paul,Richardson,1991-03-22,Peasant,Worker,Male,Human,Kul Tiras,Yes,3,1.00,Kul Tiras,Gold,2,1.00
Peter,Gilbert,1987-06-01,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Tree,1,1.00
Raymond,Reid,1979-08-30,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Gold,1,1.00
Reginald,Marshall,1980-10-13,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Gold,3,1.00
Richard,Field,1982-11-09,Peasant,Worker,Male,Human,Lordaeron,Yes,4,1.00,Lordaeron,Tree,1,1.00
Robert,Osborne,1993-01-16,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Gold,2,1.00
Roger,Abbott,1986-03-29,Peasant,Worker,Male,Human,Kul Tiras,Yes,2,1.00,Kul Tiras,Gold,3,1.00
Ronald,Davidson,1977-05-30,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Gold,2,1.00
Roy,Gallagher,1988-07-22,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Tree,2,1.00
Stanley,Sinclair,1989-09-10,Peasant,Worker,Male,Human,Stormwind,Yes,4,1.00,Stormwind,Tree,2,1.00
Stephen,Mclaughlin,1976-10-01,Peasant,Worker,Male,Human,Stormwind,Yes,5,1.00,Stormwind,Tree,3,1.00
Terence,Hopkins,1990-12-28,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Gold,2,1.00
Timothy,Craig,1981-01-05,Peasant,Worker,Male,Human,Lordaeron,Yes,2,1.00,Lordaeron,Tree,1,1.00
Trevor,Williamson,1985-04-16,Peasant,Worker,Male,Human,Lordaeron,Yes,1,1.00,Lordaeron,Tree,1,1.00
Victor,Johnston,1978-06-01,Peasant,Worker,Male,Human,Kul Tiras,Yes,3,1.00,Kul Tiras,Gold,1,1.00
Vincent,Hughes,1992-08-13,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Gold,2,1.00
Walter,Wallace,1984-11-27,Peasant,Worker,Male,Human,Lordaeron,Yes,5,1.00,Lordaeron,Tree,2,1.00
Warren,Griffin,1983-01-10,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Gold,1,1.00
Wayne,Thompson,1980-03-11,Peasant,Worker,Male,Human,Stormwind,Yes,2,1.00,Stormwind,Tree,2,1.00
Wesley,Graham,1987-05-03,Peasant,Worker,Male,Human,Stormwind,Yes,2,1.00,Stormwind,Gold,1,1.00
Wilfred,Crawford,1976-07-12,Peasant,Worker,Male,Human,Kul Tiras,Yes,2,1.00,Kul Tiras,Gold,2,1.00
Alan,Barrett,1991-10-19,Peasant,Worker,Male,Human,Kul Tiras,Yes,4,1.00,Kul Tiras,Gold,2,1.00
Anthony,Fleming,1989-12-07,Peasant,Worker,Male,Human,Kul Tiras,Yes,5,1.00,Kul Tiras,Tree,3,1.00
Barry,Montgomery,1984-01-19,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Gold,2,1.00
Bernard,Morton,1975-04-24,Peasant,Worker,Male,Human,Lordaeron,Yes,3,1.00,Lordaeron,Gold,1,1.00
Brian,Buchanan,1993-06-07,Peasant,Worker,Male,Human,Kul Tiras,Yes,1,1.00,Kul Tiras,Tree,3,1.00
Charles,Mclean,1986-08-18,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Gold,1,1.00
Christopher,Whitehead,1977-10-03,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Gold,2,1.00
David,Watson,1992-12-15,Peasant,Worker,Male,Human,Stormwind,Yes,5,1.00,Stormwind,Tree,2,1.00
Denis,Kerr,1981-02-28,Peasant,Worker,Male,Human,Lordaeron,Yes,4,1.00,Lordaeron,Gold,3,1.00
Douglas,Macdonald,1989-04-15,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Gold,1,1.00
Edward,Duncan,1983-07-29,Peasant,Worker,Male,Human,Stormwind,Yes,5,1.00,Stormwind,Tree,3,1.00
Francis,Grant,1978-09-10,Peasant,Worker,Male,Human,Lordaeron,Yes,5,1.00,Lordaeron,Tree,1,1.00
Gary,Hamilton,1991-11-15,Peasant,Worker,Male,Human,Lordaeron,Yes,3,1.00,Lordaeron,Tree,1,1.00
Geoffrey,Kerr,1988-01-21,Peasant,Worker,Male,Human,Kul Tiras,Yes,2,1.00,Kul Tiras,Tree,3,1.00
Gordon,Macdonald,1979-03-11,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Gold,2,1.00
Howard,Duncan,1984-06-15,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Gold,1,1.00
Ivan,Grant,1980-08-28,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Tree,3,1.00
Jason,Hamilton,1985-10-18,Peasant,Worker,Male,Human,Kul Tiras,Yes,1,1.00,Kul Tiras,Gold,3,1.00
Julian,Murray,1987-12-14,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Tree,3,1.00
Keith,Forbes,1990-02-05,Peasant,Worker,Male,Human,Kul Tiras,Yes,4,1.00,Kul Tiras,Tree,1,1.00
Kenneth,Macleod,1982-05-19,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Tree,3,1.00
Lawrence,Kirkpatrick,1977-07-29,Peasant,Worker,Male,Human,Lordaeron,Yes,3,1.00,Lordaeron,Gold,1,1.00
Leonard,Macgregor,1992-09-01,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Tree,1,1.00
Martin,Fraser,1986-11-14,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Gold,3,1.00
Michael,Cameron,1978-01-05,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Tree,1,1.00
Nicholas,Macintosh,1993-03-19,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Gold,3,1.00
Patrick,Campbell,1981-05-30,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Gold,2,1.00
Philip,Macmillan,1989-07-08,Peasant,Worker,Male,Human,Kul Tiras,Yes,5,1.00,Kul Tiras,Gold,2,1.00
Ralph,Macpherson,1983-10-25,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Gold,1,1.00
Raymond,Sinclair,1990-12-01,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Gold,3,1.00
Robert,Macrae,1985-02-15,Peasant,Worker,Male,Human,Stormwind,Yes,3,1.00,Stormwind,Gold,2,1.00
Russell,Mackenzie,1976-04-24,Peasant,Worker,Male,Human,Kul Tiras,Yes,5,1.00,Kul Tiras,Tree,3,1.00
Simon,Ross,1988-06-12,Peasant,Worker,Male,Human,Stormwind,Yes,4,1.00,Stormwind,Gold,3,1.00
Stephen,Stewart,1991-09-21,Peasant,Worker,Male,Human,Lordaeron,Yes,4,1.00,Lordaeron,Tree,3,1.00
Terry,Davidson,1979-11-01,Peasant,Worker,Male,Human,Stormwind,Yes,2,1.00,Stormwind,Tree,2,1.00
Thomas,Graham,1986-01-11,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Tree,1,1.00
Tony,Morrison,1990-03-05,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Gold,3,1.00
Victor,Hunter,1987-05-09,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Gold,3,1.00
Walter,Robertson,1978-08-11,Peasant,Worker,Male,Human,Lordaeron,Yes,4,1.00,Lordaeron,Tree,3,1.00
Wayne,Macleod,1984-10-23,Peasant,Worker,Male,Human,Lordaeron,Yes,2,1.00,Lordaeron,Gold,2,1.00
Christopher,Forbes,1988-03-09,Peasant,Worker,Male,Human,Stormwind,Yes,3,1.00,Stormwind,Tree,1,1.00
David,Macleod,1990-06-15,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Gold,2,1.00
Denis,Kirkpatrick,1986-08-30,Peasant,Worker,Male,Human,Stormwind,Yes,1,1.00,Stormwind,Tree,2,1.00
Douglas,Cameron,1993-10-05,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Tree,1,1.00
Edward,Macgregor,1979-12-21,Peasant,Worker,Male,Human,Lordaeron,Yes,2,1.00,Lordaeron,Gold,1,1.00
Olivia,Adams,1985-02-03,Peasant,Worker,Female,Human,Stormwind,Yes,4,1.00,Stormwind,Gold,1,1.00
Amelia,Armstrong,1990-04-25,Peasant,Worker,Female,Human,Lordaeron,No,0,1.00,Lordaeron,Tree,0,1.00
Isla,Atkinson,1978-06-16,Peasant,Worker,Female,Human,Kul Tiras,Yes,2,1.00,Kul Tiras,Gold,2,1.00
Emily,Bailey,1982-08-28,Peasant,Worker,Female,Human,Stormwind,No,0,1.00,Stormwind,Tree,1,1.00
Ava,Barker,1995-09-11,Peasant,Worker,Female,Human,Lordaeron,No,0,1.00,Lordaeron,Gold,0,1.00
Sophia,Barnes,1975-11-05,Peasant,Worker,Female,Human,Kul Tiras,No,0,1.00,Kul Tiras,Tree,2,1.00
Isabella,Bennett,1988-12-19,Peasant,Worker,Female,Human,Stormwind,Yes,3,1.00,Stormwind,Gold,1,1.00
Mia,Bishop,1992-02-22,Peasant,Worker,Female,Human,Lordaeron,No,0,1.00,Lordaeron,Gold,1,1.00
Grace,Black,1980-04-08,Peasant,Worker,Female,Human,Kul Tiras,Yes,3,1.00,Kul Tiras,Gold,2,1.00
Evie,Bradley,1979-05-12,Peasant,Worker,Female,Human,Kul Tiras,No,0,1.00,Kul Tiras,Tree,2,1.00
Poppy,Brooks,1993-07-26,Peasant,Worker,Female,Human,Kul Tiras,No,0,1.00,Kul Tiras,Tree,1,1.00
Lily,Brown,1984-10-15,Peasant,Worker,Female,Human,Lordaeron,Yes,2,1.00,Lordaeron,Gold,3,1.00
Sophie,Burton,1987-12-30,Peasant,Worker,Female,Human,Stormwind,No,0,1.00,Stormwind,Gold,3,1.00
Elsie,Campbell,1991-03-01,Peasant,Worker,Female,Human,Lordaeron,No,0,1.00,Lordaeron,Tree,2,1.00
Rosie,Carter,1976-06-21,Peasant,Worker,Female,Human,Stormwind,Yes,2,1.00,Stormwind,Gold,2,1.00
Alice,Chapman,1989-08-31,Peasant,Worker,Female,Human,Kul Tiras,No,0,1.00,Kul Tiras,Gold,2,1.00
Ivy,Clark,1981-09-14,Peasant,Worker,Female,Human,Stormwind,No,0,1.00,Stormwind,Tree,1,1.00
Freya,Collins,1994-11-27,Peasant,Worker,Female,Human,Lordaeron,Yes,4,1.00,Lordaeron,Gold,3,1.00
Florence,Cook,1983-01-18,Peasant,Worker,Female,Human,Lordaeron,No,0,1.00,Lordaeron,Gold,1,1.00
Chloe,Cooper,1977-02-11,Peasant,Worker,Female,Human,Kul Tiras,Yes,3,1.00,Kul Tiras,Gold,3,1.00
Evie,Cox,1986-04-13,Peasant,Worker,Female,Human,Stormwind,Yes,4,1.00,Stormwind,Gold,2,1.00
Millie,Davies,1990-05-23,Peasant,Worker,Female,Human,Stormwind,Yes,5,1.00,Stormwind,Tree,1,1.00
Ella,Davis,1978-07-05,Peasant,Worker,Female,Human,Lordaeron,No,0,1.00,Lordaeron,Gold,2,1.00
Scarlett,Dawson,1985-09-22,Peasant,Worker,Female,Human,Lordaeron,No,0,1.00,Lordaeron,Tree,1,1.00
Isabella,Dixon,1992-10-11,Peasant,Worker,Female,Human,Stormwind,Yes,5,1.00,Stormwind,Tree,2,1.00
Daisy,Dunn,1975-12-29,Peasant,Worker,Female,Human,Stormwind,Yes,4,1.00,Stormwind,Gold,2,1.00
Esme,Edwards,1984-02-08,Peasant,Worker,Female,Human,Lordaeron,Yes,4,1.00,Lordaeron,Gold,1,1.00
Harper,Elliott,1991-03-13,Peasant,Worker,Female,Human,Kul Tiras,Yes,1,1.00,Kul Tiras,Tree,3,1.00
Hannah,Ellis,1987-06-25,Peasant,Worker,Female,Human,Lordaeron,Yes,3,1.00,Lordaeron,Tree,1,1.00
